input position,input joint,output joint
"(0.44, -0.67)","(0.17, -2.18)","(0.17, -2.15)"
"(0.44, -0.67)","(0.21, -2.18)","(0.17, -2.15)"
"(0.44, -0.67)","(0.18, -2.14)","(0.17, -2.15)"
"(0.44, -0.67)","(0.15, -2.11)","(0.17, -2.15)"
"(0.44, -0.67)","(0.13, -2.2)","(0.17, -2.15)"
"(0.44, -0.67)","(0.15, -2.11)","(0.17, -2.15)"
"(0.44, -0.67)","(0.15, -2.11)","(0.17, -2.15)"
"(0.44, -0.67)","(0.15, -2.13)","(0.17, -2.15)"
"(0.44, -0.67)","(0.22, -2.12)","(0.17, -2.15)"
"(0.74, -0.8)","(0.16, -1.77)","(0.17, -1.82)"
"(0.74, -0.8)","(0.2, -1.79)","(0.17, -1.82)"
"(0.74, -0.8)","(0.18, -1.79)","(0.17, -1.82)"
"(0.74, -0.8)","(0.18, -1.86)","(0.17, -1.82)"
"(0.74, -0.8)","(0.2, -1.83)","(0.17, -1.82)"
"(0.74, -0.8)","(0.2, -1.81)","(0.17, -1.82)"
"(0.74, -0.8)","(0.15, -1.77)","(0.17, -1.82)"
"(0.74, -0.8)","(0.22, -1.83)","(0.17, -1.82)"
"(0.74, -0.8)","(0.16, -1.78)","(0.17, -1.82)"
"(0.74, -0.8)","(0.14, -1.84)","(0.17, -1.82)"
"(1.07, -0.83)","(0.14, -1.48)","(0.17, -1.49)"
"(1.07, -0.83)","(0.12, -1.47)","(0.17, -1.49)"
"(1.07, -0.83)","(0.13, -1.46)","(0.17, -1.49)"
"(1.07, -0.83)","(0.13, -1.53)","(0.17, -1.49)"
"(1.07, -0.83)","(0.15, -1.47)","(0.17, -1.49)"
"(1.07, -0.83)","(0.17, -1.53)","(0.17, -1.49)"
"(1.07, -0.83)","(0.14, -1.45)","(0.17, -1.49)"
"(1.07, -0.83)","(0.15, -1.52)","(0.17, -1.49)"
"(1.07, -0.83)","(0.16, -1.51)","(0.17, -1.49)"
"(1.07, -0.83)","(0.17, -1.51)","(0.17, -1.49)"
"(1.39, -0.75)","(0.21, -1.17)","(0.17, -1.16)"
